# Hesudhar Corrections File
# Format: incorrect_word|corrected_word
# This file is automatically updated when the database changes
# Last updated: 2025-08-12
# Total entries: 9607

آئينه|آئينہ
آگهارائڻ|آگهارائڻ
آگهارجڻ|آگهارجڻ
آگهارڻ|آگهارڻ
آگهارو|آگهارو
آگهاڙو|آگهاڙو
آگهاگهمڻ|آگهاگهمڻ
آگهاڻو|آگهاڻو
آگهٽ|آگهٽ
آگهٽجڻ|آگهٽجڻ
آگهر|آگهر
آگهرائڻ|آگهرائڻ
آگهرجڻ|آگهرجڻ
آگهرڻ|آگهرڻ
آگهڙ|آگهڙ
آگهم|آگهم
آگهه|آگهہ
آگهور|آگهور
آگهوري|آگهوري
آگهي|آگهي
آگيه|آگيہ
آڳاجهه|آڳاجهه
آڳانجهوآڳانڌو|آڳانجهوآڳانڌو
آڳانهه|آڳانھہ
آڳاهه|آڳاھ
آڳاهون|آڳاھون
آڳاهي|آڳاھي
آڳاهين|آڳاھين
آڳهه|آڳھہ
آلنگهين|آلنگهين
آله|آلہ
آلهن|آلھن
آلوده|آلودہ
آلوماه|آلوماھ
آليه|آليہ
آماده|آمادہ
آماره|آمارہ
آماهڻ|آماھڻ
آمده|آمدہ
آمله|آملہ
آمنه|آمنہ
آمهائڻ|آمهائڻ
آمهون|آمهون
آموخته|آموختہ
آنبهه|آنبھہ
آنجهاني|آنجهاني
آنجهي|آنجهي
آنگاهو|آنگاھو
آنگها|آنگها
آنگهو|آنگهو
آنهان|آنھان
آنهر|آنھر
آنهرا|آنھرا
آنهري|آنھري
آنهڪار|آنھڪار
آنهڪارڻ|آنھڪارڻ
آنهل|آنھل
آنهن|آنھن
آنهه|آنھہ
آنهو|آنھو
آنهون|آنھون
آنهيرا|آنھيرا
آنهيري|آنھيري
آنوله|آنولہ
آها|آھا
آهار|آھار
آهاري|آھاري
آهان|آھان
آهت|آھت
آهتو|آھتو
آهتي|آھتي
آهٽ|آھٽ
آهر|آھر
آهرن|آھرن
آهرڻ|آھرڻ
آهرو|آھرو
آهري|آھري
آهريا|آھريا
آهرين|آھرين
آهڙ|آھڙ
آهڙڻ|آھڙڻ
آهڙو|آھڙو
آهستگي|آھستگي
آهسته|آھستہ
آهستو|آھستو
آهستي|آھستي
آهڪ|آھڪ
آهڳ|آھڳ
آهل|آھل
آهلائڻ|آھلائڻ
آهلجڻ|آھلجڻ
آهلڻ|آھلڻ
آهليل|آھليل
آهم|آھم
آهن|آھن
آهنڊ|آھنڊ
آهنر|آھنر
آهنگ|آھنگ
آهنگر|آھنگر
آهني|آھني
آهڻو|آھڻو
آهه|آھہ
آهو|آھو
آهوء|آھوء
آهوپا|آھوپا
آهوپرو|آھوپرو
آهوتي|آھوتي
آهوجا|آھوجا
آهوچشم|آھوچشم
آهورن|آھورن
آهورو|آھورو
آهوڙ|آھوڙ
آهوڙائڻ|آھوڙائڻ
آهوڙجڻ|آھوڙجڻ
آهوڙڻ|آھوڙڻ
آهوڙو|آھوڙو
آهوڙي|آھوڙي
آهوشڪم|آھوشڪم
آهون|آھون
آهونگاه|آھونگاھ
آهوي|آھوي
آهي|آھي
آهيج|آھيج
آهير|آھير
آهيرو|آھيرو
آهيري|آھيري
آهيريان|آھيريان
آهيريو|آھيريو
آهيڙو|آھيڙو
آهيڙي|آھيڙي
آهيڙياڻي|آھيڙياڻي
آهيڙياڻِيوُن|آھيڙياڻِيوُن
آهين|آھين
آهينو|آھينو
آھه|آھہ
آھھ|آھہ
آواره|آوارہ
آوازه|آوازہ
آواگهر|آواگهر
آواگهين|آواگهين
آواهن|آواھن
آوه|آوہ
آوهه|آوھہ
آينده|آيندہ
ائمه|ائمه
اباهڻ|اباھڻ
ابتهاج|ابتھاج
ابتهال|ابتھال
ابخره|ابخرہ
ابراهيم|ابراھيم
ابراهيمي|ابراھيمي
ابره|ابرھ
ابرهو|ابرھو
ابلهانه|ابلھانہ
ابلهه|ابلھ
ابلهي|ابلھي
ابليسانه|ابليسانہ
ابهام|ابھام
ابهايو|ابھايو
ابهر|ابھر
ابهڪ|ابھڪ
ابهم|ابھم
ابهڻ|ابھڻ
ابهو|ابھو
ابوالهول|ابوالھول
اٻاجھو|اٻاجهو
اٻاهر|اٻاھر
اٻاهرو|اٻاھرو
اٻاهو|اٻاھو
اٻاهي|اٻاھي
اٻجهه|اٻجهہ
اٻڙهه|اٻڙھ
اٻهارجڻ|اٻھارجڻ
اٻهر|اٻھر
اٻهرائي|اٻھرائي
اٻهرو|اٻھرو
اٻهري|اٻھري
اٻهڙ|اٻھڙ
اٻوجهه|اٻوجهہ
اٻوجھاء|اٻوجهاء
اٻوجھائي|اٻوجهائي
اٻوجھاڻو|اٻوجهاڻو
اٻوجھه|اٻوجھہ
اٻوجھھ|اٻوجھہ
اٻوجھو|اٻوجهو
اٻوهيو|اٻوھيو
اپائڻهار|اپائڻھار
اپاهت|اپاھت
اپاهج|اپاھج
اپاهڪ|اپاھڪ
اپاهڪي|اپاھڪي
اپگرهه|اپگرھ
اپهتو|اپھتو
اپهچ|اپھچ
اپهس|اپھس
اپهڪ|اپھڪ
اپهڪي|اپھڪي
اپهو|اپھو
اڀساهي|اڀساھي
اڀهو|اڀھو
اڀيهڻ|اڀيھڻ
اتانگهه|اتانگهہ
اتانگھه|اتانگهہ
اتانگھو|اتانگهو
اتانهم|اتانھم
اتانهون|اتانھون
اتانهين|اتانھين
اتاهل|اتاھل
اتاهه|اتاھ
اتسئه|اتسئہ
اتساهه|اتساھ
اتساهي|اتساھي
اتفاقيه|اتفاقيہ
اتنگهه|اتنگهہ
اتنگھه|اتنگهہ
اتنگھي|اتنگهي
اتهاس|اتھاس
اتّهام|اتّھام
اتهين|اتھين
اتيهاس|اتيھاس
اتيهڻ|اتيھڻ
اٺارهن|اٺارھن
اٺاويهه|اٺاويھہ
اٺاويهو|اٺاويھو
اٺٽيهه|اٺٽيھ
اٺهتر|اٺھتر
اٺهٺ|اٺھٺ
اٺهريو|اٺھريو
اٺهن|اٺھن
اٺونجاهه|اٺونجاھ
اٺيتاليهه|اٺيتاليھہ
اٽهائيندو|اٽھائيندو
اٽّهاس|اٽّھاس
اٽهلو|اٽھلو
اٽهه|اٽھ
اٽوڙهڻ|اٽوڙھڻ
اٿاهه|اٿاھ
اٿاھھ|اٿاھہ
اٿهون|اٿھون
اجاره|اجارہ
اجارهء|اجارہء
اجتهاد|اجتھاد
اجهه|اجهہ
اجھا|اجها
اجھائڻ|اجهائڻ
اجھائي|اجهائي
اجھاپ|اجهاپ
اجھار|اجهار
اجھارڻ|اجهارڻ
اجھاڪي|اجهاڪي
اجھاڳ|اجهاڳ
اجھاڳو|اجهاڳو
اجھال|اجهال
اجھالڪو|اجهالڪو
اجھام|اجهام
اجھامڻ|اجهامڻ
اجھان|اجهان
اجھرڻ|اجهرڻ
اجھڙڪڻ|اجهڙڪڻ
اجھڙڻ|اجهڙڻ
اجھڪ|اجهڪ
اجھڪائي|اجهڪائي
اجھڪو|اجهڪو
اجھل|اجهل
اجھلائي|اجهلائي
اجھندو|اجهندو
اجھڻ|اجهڻ
اجھه|اجهہ
اجھو|اجهو
اجھور|اجهور
اجھورو|اجهورو
اجھوڪو|اجهوڪو
اجھول|اجهول
اجھي|اجهي
اجوره|اجورہ
اڄلهه|اڄلهہ
اڄهندو|اڄھندو
اڄهڻ|اڄھڻ
اڄهه|اڄھہ
اڄھه|اڄھہ
اچاهه|اچاھ
اچهري|اچھري
اچهون|اچھون
اڇاهرائي|اڇاھرائي
اڇاهرو|اڇاھرو
اڇهرو|اڇھرو
اڇهري|اڇھري
احمقانه|احمقانہ
اختيارانه|اختيارانہ
ادبانه|ادبانہ
ادعيه|ادعيہ
ادله|ادلہ
ادهم|ادھم
ادهه|ادھہ
ادوهو|ادوھو
ادويه|ادويہ
اذهان|اذھان
اڊلهه|اڊلهہ
اڊلھه|اڊلهہ
اڌهڻ|اڌھڻ
اڏهي|اڏھي
اڏوهو|اڏوھو
اڏوهي|اڏوھي
اڏيهي|اڏيھي
ارابه|ارابہ
اراده|ارادہ
ارتوهارڻ|ارتوھارڻ
ارجهه|ارجهہ
ارجھڻ|ارجهڻ
ارجھه|ارجهہ
ارجھو|ارجهو
ارفاھھ|ارفاھ
ارگهه|ارگهہ
ارگھا|ارگها
ارمله|ارملہ
اره|ارھ
ارهائڻ|ارھائڻ
ارهائي|ارھائي
ارهاٽ|ارھاٽ
ارهاٽڻ|ارھاٽڻ
ارهال|ارھال
ارهاڻ|ارھاڻ
ارهاڻو|ارھاڻو
ارهاڻي|ارھاڻي
ارهجڻ|ارھجڻ
ارهر|ارھر
ارهن|ارھن
ارهندائي|ارھندائي
ارهندو|ارھندو
ارهندي|ارھندي
ارهنڪو|ارھنڪو
ارهڻ|ارھڻ
ارهه|ارھہ
ارهو|ارھو
ارهون|ارھون
ارهي|ارھي
ارونهرو|ارونھرو
ارينهڪو|ارينھڪو
ارينهن|ارينھن
ازالئه|ازالئہ
ازدها|ازدھا
ازهار|ازھار
اڙهني|اڙھني
اڙهڻ|اڙھڻ
اسئله|اسئلہ
اساتذه|اساتذہ
اسامه|اسامہ
اسانهين|اسانھين
استاده|استادہ
استغاثه|استغاثہ
استفاده|استفادہ
استفاضه|استفاضہ
استفهام|استفھام
استفهامي|استفھامي
استڪراهه|استڪراھ
استهزاء|استھزاء
اسڪندريه|اسڪندريہ
اسگاهه|اسگاھ
اسگھائي|اسگهائي
اسگھٽي|اسگهٽي
اسگھو|اسگهو
اسلحه|اسلحہ
اسليه|اسليہ
اسماعيليه|اسماعيليہ
اسمجهه|اسمجهہ
اسمجھه|اسمجهہ
اسنهون|اسنھون
اسنهين|اسنھين
اسهارو|اسھارو
اسهال|اسھال
اسهج|اسھج
اسهڪار|اسھڪار
اسهل|اسھل
اسهڻ|اسھڻ
اسهه|اسھہ
اسهو|اسھو
اسوجهه|اسوجهہ
اسونهه|اسونهہ
اسونهون|اسونھون
اسونهين|اسونھين
اسوه|اسوہ
اشاره|اشارہ
اشاعره|اشاعرہ
اشباهه|اشباھ
اشتباهه|اشتباھ
اشتباهي|اشتباھي
اشتها|اشتھا
اشتهار|اشتھار
اشڪره|اشڪرہ
اشهاد|اشھاد
اشهب|اشھب
اشهد|اشھد
اشهر|اشھر
اصفهان|اصفھان
اصلحه|اصلحہ
اطهار|اطھار
اطهر|اطھر
اظهار|اظھار
اظهر|اظھر
اعجوبه|اعجوبہ
افاده|افادہ
افتاده|افتادہ
افروخته|افروختہ
افروزه|افروزہ
افسانه|افسانہ
افسرده|افسردہ
افسردھ|افسردہ
افواه|افواھ
افواهي|افواھي
اقباله|اقبالہ
اڪارهن|اڪارھن
اڪانجهر|اڪانجهر
اڪانهن|اڪانھن
اڪانهه|اڪانھ
اڪراه|اڪراھ
اڪرنجهه|اڪرنجهہ
اڪهڻو|اڪھڻو
اڪهه|اڪھہ
اڪولاهي|اڪولاھي
اڪونجهه|اڪونجهہ
اڪوهي|اڪوھي
اگرچه|اگرچہ
اگھائتو|اگهائتو
اگھائجڻ|اگهائجڻ
اگھائڻ|اگهائڻ
اگھائي|اگهائي
اگھاتو|اگهاتو
اگھار|اگهار
اگھاري|اگهاري
اگھاڙ|اگهاڙ
اگھاڙا|اگهاڙا
اگھاڙائي|اگهاڙائي
اگھاڙپ|اگهاڙپ
اگھاڙڻ|اگهاڙڻ
اگھاڙو|اگهاڙو
اگھاڙي|اگهاڙي
اگھاماڻو|اگهاماڻو
اگھاماڻي|اگهاماڻي
اگھامتي|اگهامتي
اگھامجڻ|اگهامجڻ
اگھامڻ|اگهامڻ
اگھتائي|اگهتائي
اگھٺڻ|اگهٺڻ
اگھٽ|اگهٽ
اگھٽجڻ|اگهٽجڻ
اگھٽڻ|اگهٽڻ
اگھر|اگهر
اگھراڻي|اگهراڻي
اگھرجو|اگهرجو
اگھرو|اگهرو
اگھڙ|اگهڙ
اگھڙن|اگهڙن
اگھل|اگهل
اگھلجڻ|اگهلجڻ
اگھلڻ|اگهلڻ
اگھلو|اگهلو
اگھلي|اگهلي
اگھم|اگهم
اگھن|اگهن
اگھڻ|اگهڻ
اگھڻو|اگهڻو
اگھھ|اگهہ
اگھو|اگهو
اگھوتر|اگهوتر
اگھوتري|اگهوتري
اگھوچر|اگهوچر
اگھور|اگهور
اگھورپڻو|اگهورپڻو
اگھوڙ|اگهوڙ
اگھي|اگهي
اگھير|اگهير
اگھيري|اگهيري
اگھيم|اگهيم
اگھيماڻي|اگهيماڻي
اگھيھ|اگهيہ
اگوھڻ|اگوھڻ
اڳانجھھ|اڳانجهہ
اڳانجھو|اڳانجهو
اڳانهن|اڳانھن
اڳانهه|اڳانھہ
اڳاهون|اڳاھون
اڳاهين|اڳاھين
اڳهرو|اڳھرو
اڳهڙو|اڳھڙو
اڳهڙي|اڳھڙي
اڳهن|اڳھن
اڳهڻ|اڳھڻ
اڳهڻو|اڳھڻو
اڳهه|اڳھہ
اڳهوڙي|اڳھوڙي
اڳهون|اڳھون
اڳهين|اڳھين
اڳهيو|اڳھيو
اڳواهي|اڳواھي
اڳواهيو|اڳواھيو
اڳوهڻ|اڳوھڻ
اڳوهيو|اڳوھيو
اڳيراهون|اڳيراھون
الئه|الئہ
الاقامه|الاقامہ
الاّلله|الاّلله
الاها|الاھا
الاهر|الاھر
الاهڻ|الاھڻ
الاهڻو|الاھڻو
الاهه|الاھ
الاهو|الاھو
الاهي|الاھي
الاهيات|الاھيات
الاهيت|الاھيت
الاهيو|الاھيو
البديهه|البديھہ
البّوبه|البّوبہ
الجمله|الجملہ
الجهڻ|الجهڻ
الدهر|الدھر
الذمه|الذمہ
الڊهه|الڊھہ
الريهه|الريھہ
الڙهڪڻ|الڙھڪڻ
السنه|السنہ
الشهداء|الشھداء
القصه|القصہ
الڪوهل|الڪوھل
المنتهيٰ|المنتھيٰ
المهام|المھام
النگھڻ|النگهڻ
النگھين|النگهين
الهام|الھام
الهضم|الھضم
الهندو|الھندو
الهندي|الھندي
الهڻ|الهڻ
الهه|الهه
الٰهه|الٰھ
الهو|الهو
الهوٽ|الهوٽ
الهي|الهي
الٰهي|الٰھي
الهيثم|الھيثم
الهيڙ|الھيڙ
الھائڻ|الهائڻ
الھارڻ|الهارڻ
الھاڻ|الهاڻ
الھاڻو|الهاڻو
الھايو|الهايو
الھٽ|الهٽ
الھجي|الهجي
الھراسي|الهراسي
الھڙ|الهڙ
الونهه|الونھہ
الوهوٽ|الوھوٽ
الوهيت|الوھيت
اليه|اليہ
اليهر|اليھر
اليَهُودِ|اليَھُودِ
اماله|اماله
اماميه|اماميہ
امانگھرو|امانگهرو
اماهڻ|اماھڻ
اماهي|اماھي
امجھڻ|امجهڻ
امجھو|امجهو
امرالاهي|امرالاھي
امرنهي|امرنھي
امروهي|امروھي
امڪنه|امڪنہ
املهه|املهہ
املھه|املهہ
امهات|امھات
امهڙو|امھڙو
امھائڻ|امهائڻ
امھاڙي|امهاڙي
امونگهه|امونگهہ
امونگھه|امونگهہ
اميه|اميہ
اناطوليه|اناطوليہ
انبوهناڪ|انبوھناڪ
انبوهه|انبوھ
انبوهي|انبوھي
انتباهه|انتباھ
انتها|انتھا
انجهه|انجهہ
انداهه|انداھ
انداهي|انداھي
اندروهه|اندروھ
اندوخته|اندوختہ
اندوراهه|اندوراھ
اندوهگين|اندوھگين
اندوهناڪ|اندوھناڪ
اندوهه|اندوھہ
انديشه|انديشه
انڌڳهو|انڌڳھو
انگھائڻ|انگهائڻ
انگھائي|انگهائي
انگھر|انگهر
انگھرو|انگهرو
انگھڙي|انگهڙي
انگھن|انگهن
انگھڻ|انگهڻ
انگھھ|انگهہ
انگھو|انگهو
انگھون|انگهون
انگھي|انگهي
انگيخته|انگيختہ
انهان|انھان
انهد|انھد
انهدام|انھدام
انهدي|انھدي
انهڪارڻ|انھڪارڻ
انهم|انھم
انهماڪ|انھماڪ
انهه|انهہ
انهوارجڻ|انھوارجڻ
انهي|انھي
انهيء|انھيء
انهيار|انهيار
انهيري|انهيري
اڻاهٺ|اڻاھٺ
اڻپڙهيو|اڻپڙهيو
اڻٺاهه|اڻٺاھ
اڻٺهندي|اڻٺھندي
اڻٺهڻو|اڻٺھڻو
اڻٺهيو|اڻٺھيو
اڻٽيهه|اڻٽيھ
اڻگهيل|اڻگهيل
اڻهار|اڻھار
اڻهتر|اڻھتر
اڻهٺ|اڻھٺ
اڻهن|اڻھن
اڻهول|اڻھول
اڻهي|اڻھي
اڻهيار|اڻھيار
اڻونجاهه|اڻونجاھ
اڻويهه|اڻويھ
اڻويهين|اڻويھين
اڻيتاليهه|اڻيتاليھ
اڻيهه|اڻيھ
اهئين|اھئين
اها|اھا
اهاء|اھاء
اهائو|اھائو
اهائي|اھائي
اهار|اھار
اهارڻ|اھارڻ
اهارو|اھارو
اهاري|اھاري
اهاڙ|اھاڙ
اهانت|اھانت
اهب|اھب
اهٻڏو|اھٻڏو
اهپارو|اھپارو
اهت|اھت
اهتمام|اھتمام
اهتي|اھتي
اهٿرو|اھٿرو
اهج|اھج
اهجو|اھجو
اهڃ|اھڃ
اهڃائو|اھڃائو
اهڃاڻ|اھڃاڻ
اهڃاڻو|اھڃاڻو
اهڄائي|اھڄائي
اهڄو|اھڄو
اهدي|اھدي
اهڏ|اھڏ
اهڏڻ|اھڏڻ
اهر|اھر
اهرائڻ|اھرائڻ
اهرام|اھرام
اهرجڻ|اھرجڻ
اهرمن|اھرمن
اهرڻ|اھرڻ
اهرو|اھرو
اهري|اھري
اهريانئون|اھريانئون
اهرياڻو|اھرياڻو
اهريو|اھريو
اهڙ|اھڙ
اهڙامار|اھڙامار
اهڙو|اھڙو
اهڙيء|اھڙيء
اهس|اھس
اهک|اھک
اهکائي|اھکائي
اهکو|اھکو
اهڪار|اھڪار
اهگ|اھگ
اهڳ|اھڳ
اهڳور|اھڳور
اهل|اھل
اهلجڻ|اھلجڻ
اهلڪار|اھلڪار
اهلڻ|اھلڻ
اهلون|اھلون
اهلي|اھلي
اهليت|اھليت
اهلير|اھلير
اهليه|اھليه
اهم|اھم
اهمائڻ|اھمائڻ
اهمائي|اھمائي
اهمال|اھمال
اهمايل|اھمايل
اهمڻ|اھمڻ
اهمو|اھمو
اهمي|اھمي
اهميت|اھميت
اهن|اھن
اهنج|اھنج
اهنجائتو|اھنجائتو
اهنجائي|اھنجائي
اهنجو|اھنجو
اهندر|اھندر
اهندڙ|اھندڙ
اهنڊ|اھنڊ
اهنڊر|اھنڊر
اهنڊو|اھنڊو
اهنر|اھنر
اهنسا|اھنسا
اهنسڪ|اھنسڪ
اهنڪار|اھنڪار
اهنگ|اھنگ
اهنو|اھنو
اهنوارجڻ|اھنوارجڻ
اهنوتري|اھنوتري
اهنوڙي|اھنوڙي
اهنير|اھنير
اهڻا|اھڻا
اهڻو|اھڻو
اهه|اھ
اهو|اھو
اهوئي|اھوئي
اهواڳ|اھواڳ
اهواڳين|اھواڳين
اهوڙ|اھوڙ
اهوسهو|اھوسھو
اهون|اھون
اهي|اھي
اهير|اھير
اهيرڻ|اھيرڻ
اهيڙو|اھيڙو
اهيڙي|اھيڙي
اهيل|اھيل
اهين|اھين
اهيڻي|اھيڻي
اواجهو|اواجهو
اواهه|اواھ
اوباهجڻ|اوباھجڻ
اوباهڻ|اوباھڻ
اوباهه|اوباھ
اوباهو|اوباھو
اوٻاهي|اوٻاھي
اوٻهارو|اوٻھارو
اوٻهرو|اوٻھرو
اوڀاهڻ|اوڀاھڻ
اوجهر|اوجهر
اوجهراڙ|اوجهراڙ
اوجهراڪي|اوجهراڪي
اوجهراڪيون|اوجهراڪيون
اوجهراڻي|اوجهراڻي
اوجهراڻيون|اوجهراڻيون
اوجهرڻ|اوجهرڻ
اوجهرو|اوجهرو
اوجهري|اوجهري
اوجهريء|اوجهريء
اوجهڙ|اوجهڙ
اوجهڙاڙو|اوجهڙاڙو
اوجهڻو|اوجهڻو
اوجهه|اوجهہ
اوڃهه|اوڃھ
اوڄاهه|اوڄاھ
اوڄهه|اوڄھ
اوچيهر|اوچيھر
اوڏانهن|اوڏانهن
اوڏانهون|اوڏانهون
اوڏاهم|اوڏاھم
اوڏاهون|اوڏاھون
اوڏاهين|اوڏاھين
اورانگهڻ|اورانگهڻ
اورانگهه|اورانگهہ
اوراهون|اوراھون
اورتاهون|اورتاھون
اورنباهڻ|اورنباھڻ
اورنگشاهي|اورنگشاھي
اورنگهه|اورنگهہ
اورهاٽڻ|اورھاٽڻ
اورهاڙو|اورھاڙو
اورهٽ|اورھٽ
اورهه|اورھ
اورهون|اورھون
اوڙاهه|اوڙاھ
اوڙاھھ|اوڙاھہ
اوڙيهر|اوڙيھر
اوسهه|اوسھہ
اوگاهه|اوگاھ
اوگاهي|اوگاھي
اوگهٽ|اوگهٽ
اوگهٽو|اوگهٽو
اوگهر|اوگهر
اوگهرجڻ|اوگهرجڻ
اوگهرڻ|اوگهرڻ
اوگهڙ|اوگهڙ
اوگهڙيون|اوگهڙيون
اوگهم|اوگهم
اوگهمو|اوگهمو
اوگهه|اوگهہ
اوگهو|اوگهو
اوگهيتو|اوگهيتو
اولانگهه|اولانگهہ
اولهه|اولھ
اولھه|اولھہ
اوليهي|اوليھي
اوماهي|اوماھي
اومهرو|اومھرو
اونجهر|اونجهر
اونجهرڻ|اونجهرڻ
اونجهڻ|اونجهڻ
اوندآھه|اوندآھہ
اونداهه|اونداھ
اونداهو|اونداھو
اونداهي|اونداھي
اونداھه|اونداھہ
اونده|اوندھ
اوندهه|اوندھہ
اوندھھ|اوندھہ
اونڌهه|اونڌھہ
اونگهائي|اونگهائي
اونگهاڙ|اونگهاڙ
اونگهاس|اونگهاس
اونگهاڻو|اونگهاڻو
اونگهرڻ|اونگهرڻ
اونگهڻ|اونگهڻ
اونگهه|اونگهہ
اونگهو|اونگهو
اونها|اونها
اونهائي|اونهائي
اونهارو|اونهارو
اونهاڙ|اونهاڙ
اونهاڻ|اونهاڻ
اونهر|اونهر
اونهڻ|اونهڻ
اونهه|اونهہ
اونهو|اونهو
اونهون|اونهون
اونهين|اونهين
اوڻٽيهه|اوڻٽيھ
اوڻٽيهين|اوڻٽيھين
اوڻهتر|اوڻھتر
اوڻهٺ|اوڻھٺ
اوڻونجاهه|اوڻونجاھ
اوڻيتاليهه|اوڻيتاليھہ
اوڻيهه|اوڻيھہ
اوڻيهون|اوڻيھون
اوه|اوھ
اوهئين|اوھئين
اوها|اوھا
اوهار|اوھار
اوهارجڻ|اوھارجڻ
اوهارڻ|اوھارڻ
اوهارو|اوھارو
اوهاڙ|اوھاڙ
اوهام|اوھام
اوهاندو|اوھاندو
اوهجڻ|اوھجڻ
اوهر|اوھر
اوهرائڻ|اوھرائڻ
اوهرجڻ|اوھرجڻ
اوهرڻ|اوھرڻ
اوهڙ|اوھڙ
اوهمائي|اوھمائي
اوهمو|اوھمو
اوهنائي|اوھنائي
اوهنو|اوھنو
اوهه|اوھ
اوهو|اوھو
اوهي|اوھي
اوهير|اوھير
اوهيرا|اوھيرا
اوهيرو|اوھيرو
اوهين|اوھين
اويساهه|اويساھ
ايجهو|ايجهو
ايڏانهن|ايڏانھن
ايڏانهون|ايڏانھون
ايڏانهين|ايڏانھين
ايڏتانهون|ايڏتانھون
ايڏتانهين|ايڏتانھين
ايڏهان|ايڏھان
ايڏهون|ايڏھون
ايڏهين|ايڏھين
ايستاده|ايستادھ
ايڪاهٺ|ايڪاھٺ
ايڪٽيهه|ايڪٽيھہ
ايڪهتر|ايڪھتر
ايڪهٺ|ايڪھٺ
ايڪهڻا|ايڪھڻا
ايڪهڻو|ايڪھڻو
ايڪونجاهه|ايڪونجاھ
ايڪويهه|ايڪويھہ
ايڪيتاليهه|ايڪيتاليھہ
ايڪيهه|ايڪيھہ
ايلاهه|ايلاھ
ايلاهون|ايلاھون
ايلهه|ايلهہ
اينگهائڻ|اينگهائڻ
اينگهڻ|اينگهڻ
اينگهه|اينگهہ
ايننهن|ايننھن
اينهار|اينھار
اينوهه|اينوھ
ايها|ايھا
ايهار|ايھار
ايهام|ايھام
ايهان|ايھان
ايهر|ايھر
ايهرو|ايھرو
ايهنس|ايھنس
ايهو|ايھو
بابهه|بابھہ
باتشاهه|باتشاھ
باتشاهي|باتشاھي
باجهاڻي|باجهاڻي
باچاڙهڻ|باچاڙهڻ
باڇاهه|باڇاھ
باڇاهي|باڇاھي
باڇاهيون|باڇاھيون
باخته|باختہ
بادبهار|بادبھار
بادرنجبويه|بادرنجبويہ
بادشاه|بادشاھ
بادشاهاڻو|بادشاھاڻو
بادشاهت|بادشاھت
بادشاهزادو|بادشاھزادو
بادشاهڻ|بادشاھڻ
بادشاهه|بادشاھ
بادشاهي|بادشاھي
باده|بادہ
باديه|باديہ
باڊهه|باڊھ
بارجه|بارجہ
بارگاه|بارگاھ
باره|بارہ
بارها|بارھا
بازگهاء|بازگهاء
بازيگاه|بازيگاھ
باسليقه|باسليقہ
باصره|باصرہ
باطنيه|باطنيہ
بافنده|بافندہ
باقاعده|باقاعدہ
باڪره|باڪرہ
باگواهه|باگواھ
باگوڊهو|باگوڊھو
باڳهه|باڳهہ
بالجمله|بالجملہ
بالمشافهة|بالمشافھة
بالمشاهده|بالمشاھدہ
